Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"08 Apr 2023"
"All datapoints provided as of end of last active trading day."
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;38.40;39.00;38.40;39.00;"06/04/2023 12:46";CET;109;4236.00;-;-
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;104.20;104.60;101.70;103.90;"05/04/2023 13:05";CET;88033;9095512.10;-;-
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;2.21;2.23;2.15;2.23;"06/04/2023 17:35";CET;19224;42042.73;-;-
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;186.00;186.00;186.00;186.00;"06/04/2023 11:59";CET;2;372.00;-;-
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;275.60;275.60;275.60;275.60;"05/04/2023 11:18";CET;8;2204.80;-;-
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;2.155;2.155;2.11;2.125;"05/04/2023 12:30";CET;65925;140214.57;-;-
"A.B.P. NOCIVELLI";IT0005439861;ABP;"Euronext Growth Milan";EUR;3.88;3.90;3.82;3.82;"06/04/2023 17:14";CET;5500;21310.00;-;-
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;1.62;1.63;1.60;1.60;"06/04/2023 17:27";CET;3402;5481.56;-;-
A2A;IT0001233417;A2A;"Euronext Milan";EUR;1.5035;1.5325;1.5025;1.5285;"06/04/2023 17:35";CET;9969681;15195921.65;-;-
A2A;IT0001233417;2A2A;"Euronext After Hours Milan";EUR;1.4985;1.505;1.4975;1.505;"05/04/2023 20:29";CET;34891;52479.86;-;-
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;40.88;41.39;40.64;41.10;"06/04/2023 17:35";CET;349958;14364725.49;-;-
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;119.00;120.00;119.00;120.00;"03/04/2023 10:58";CET;300;35750.00;-;-
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;61.33;61.33;60.88;61.08;"06/04/2023 17:37";CET;1632844;99706478.19;-;-
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;5.62;5.90;5.62;5.75;"06/04/2023 17:35";CET;102141;591897.43;-;-
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47.70;47.70;47.70;47.70;"24/01/2017 11:30";CET;500;23850.00;-;-
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;6.10;6.13;6.08;6.10;"06/04/2023 17:38";CET;21863;133423.41;-;-
"ABC COMPANY";IT0005466294;ABC;"Euronext Growth Milan";EUR;3.30;3.30;3.30;3.30;"22/03/2023 00:00";CET;3000;9900.00;-;-
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;16.70;16.80;16.70;16.80;"06/04/2023 17:29";CET;72;1209.40;-;-
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.31;6.31;6.00;6.00;"05/04/2023 13:05";CET;57033;347501.56;-;-
