,ISIN,Name,sector_T,Market,Currency,Ticker,RICS,Tickers_YF,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,totalEsg,environmentScore,socialScore,governanceScore,Company Market Cap,CO2 Equivalent Emissions Total,Market Cap Category,Revenue from Business Activities - Total,carbon intensity,Total CO2 Equivalent Emissions To Revenues USD in million,TRBC Industry Group Name,TRBC Economic Sector Name
4,PLBZ00000044,BANK ZACHODNI WBK SA,Banks,,,0DVR,SPL1.WA,0DVR.IL,81.6732805088742,64.4809292661334,82.0427184492314,88.0412176214785,19.46,0.97,9.06,9.44,33702035757.2,35132.6,Large Cap,12163826000.0,2.8882853141766414,14.3850468820374,Banking Services,Financials
5,ES0130960018,ENAGAS SA,Oil & Gas Transportation Services,,,0EBQ,ENAG.MC,0EBQ.IL,82.503149324464,84.0757172434191,87.9485684345371,72.9238906846899,14.51,4.41,4.7,5.4,4698791977.19,268743.0,Mid Cap,957100000.0,280.7888412914011,208.851401076177,Oil & Gas Related Equipment and Services,Energy
10,DE000SYM9999,SYMRISE AG,Specialty Chemicals,,,0G6T,SY1G.DE,0G6T.IL,77.4097757564361,63.894788739855,84.9709784854128,88.4742148616301,20.32,7.15,5.72,7.45,14808849121.3,287659.0,Large Cap,4618476000.0,62.28439857650013,66.1431028456854,Chemicals,Basic Materials
15,ES0113860A34,BANCO DE SABADELL SA,Banks,,,0H00,SABE.MC,0H00.IL,90.8137756001027,95.4804460903232,93.9394994958535,84.64055448098,18.82,0.59,8.07,10.16,5987090441.864,19177.0,Mid Cap,5406706000.0,3.5468915824163547,2.96628455728469,Banking Services,Financials
33,FI0009003727,WARTSILA OYJ ABP,Industrial Machinery & Equipment,,,0IKJ,WRT1V.HE,0IKJ.IL,80.3201723175289,94.7325077853652,83.1766216660075,59.2802472770091,21.03,4.88,9.43,6.72,5237935448.28,70938.0,Mid Cap,5842000000.0,12.142759328996918,11.3462495061667,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
34,ES0140609019,CAIXABANK SA,Banks,,,0ILK,CABK.MC,0ILK.IL,86.5936215733285,81.6553851452671,87.5917289578367,87.1937459703417,17.77,0.73,6.65,10.39,27105201539.447,52247.0,Large Cap,12645000000.0,4.131830763147489,3.37595792248743,Banking Services,Financials
36,DK0060079531,DSV A/S,"Courier, Postal, Air Freight & Land-based Logistics",,,0JN9,DSV.CO,0JN9.IL,80.2771314843878,76.572595517908,81.5961611754284,83.0078360458107,14.08,4.16,5.98,3.95,282510000000.0,441000.0,Large Cap,235665000000.0,1.8713003628031315,12.9993780342935,Freight & Logistics Services,Industrials
42,SE0016589188,ELECTROLUX AB,"Appliances, Tools & Housewares",,,0MDT,ELUXb.ST,0MDT.IL,85.9093571187995,80.6555083928226,87.1759474632689,91.0075666237059,16.98,5.16,7.58,4.24,38821751530.75,103000.0,Large Cap,,,7.41087167679965,Household Goods,Consumer Cyclicals
45,AT0000652011,ERSTE GROUP BANK AG,Banks,,,0MJK,ERST.VI,0MJK.IL,77.1729511772408,79.5958961312727,77.0097911694593,76.4285714285714,15.12,1.1,4.53,9.49,13882540000.0,44414.0,Large Cap,8477300000.0,5.239168131362581,4.64884056363031,Banking Services,Financials
53,DK0060227585,CHR HANSEN HOLDING A/S,Food Processing,,,0MR6,CHRH.CO,0MR6.IL,82.529011005377,83.9723957582929,77.5100020646063,89.6130198915009,15.29,6.22,3.68,5.39,71806869321.6,48536.0,Large Cap,1218000000.0,39.848932676518885,39.6231652162554,Food & Tobacco,Consumer Non-Cyclicals
55,ES0130670112,ENDESA SA,Electric Utilities,,,0N9G,ELE.MC,0N9G.IL,88.3851326436934,82.3617169728901,91.5946304356284,94.4525921545436,17.21,7.58,5.48,4.16,20873297986.655,11172902.0,Large Cap,32896000000.0,339.6431785019455,470.279568987288,Electric Utilities & IPPs,Utilities
64,AT0000746409,VERBUND AG,Electric Utilities,,,0NR1,VERB.VI,0NR1.IL,79.9983650018181,90.1288661806975,80.9131430098348,61.5873015873015,17.83,5.73,6.8,5.3,13508042984.1,813000.0,Large Cap,10346088000.0,78.5804257609253,73.4258155413461,Electric Utilities & IPPs,Utilities
66,FI0009005987,UPM-KYMMENE OYJ,Paper Products,,,0NV5,UPM.HE,0NV5.IL,89.6549234548673,89.0844000671101,93.560483487199,85.7918751839858,14.68,8.07,2.93,3.69,15990721542.04,4720000.0,Large Cap,11720000000.0,402.7303754266212,376.314509635086,Paper & Forest Products,Basic Materials
69,CH0012221716,ABB LTD,Heavy Electrical Equipment,,,0NX2,ABBN.S,0NX2.IL,92.0349245728932,97.7862445763959,89.9604410953982,87.8532189058504,17.23,4.09,6.33,6.81,62577130638.75,477100.0,Large Cap,29505000000.0,16.17014065412642,16.2025402431569,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
72,DE0005773303,FRAPORT AG FRANKFURT AIRPORT SERVIC,Airport Operators & Services,,,0O1R,FRAG.DE,0O1R.IL,84.3269642883642,83.8605405097967,94.1093580609417,69.9723049711413,12.84,1.85,5.58,5.41,4296095987.84,170700.0,Mid Cap,3194400000.0,53.43726521412472,83.344721825639,Transport Infrastructure,Industrials
76,DE000A0HN5C6,DEUTSCHE WOHNEN AG,"Real Estate Rental, Development & Operations",,,0OBQ,DWNG.DE,0OBQ.IL,83.4562219596067,86.1891464125885,86.6186892839094,77.3356809316582,12.24,3.07,3.98,5.19,8422248627.52,318155.0,Mid Cap,1525600000.0,208.54417933927635,121.77202980813,Real Estate Operations,Real Estate
78,ES0109067019,AMADEUS IT GROUP SA,IT Services & Consulting,,,0P2W,AMA.MC,0P2W.IL,90.4634965288474,73.2307380801667,89.8128839057894,96.1935738221959,14.49,2.44,6.49,5.57,28111150392.0,13728.0,Large Cap,4485900000.0,3.060255467130342,4.52284153581571,Software & IT Services,Technology
90,CH0126881561,SWISS RE AG,Reinsurance,,,0QL6,SRENH.S,0QL6.IL,84.9741636457901,70.2674383731987,82.0102775071719,93.3342725650417,15.88,0.87,6.79,8.21,28092161634.88,10097.0,Large Cap,46278000000.0,0.2181814252992782,0.219495228364601,Insurance,Financials
91,CH0012005267,NOVARTIS AG,Pharmaceuticals,,,0QLR,NOVN.S,0QLR.IL,85.2663451013393,85.1924634819371,92.7193091874175,74.1824841824841,17.23,1.46,6.87,8.91,199803123182.96,792200.0,Large Cap,51742000000.0,15.310579413242628,14.9819392174291,Pharmaceuticals,Healthcare
95,CH0210483332,COMPAGNIE FINANCIERE RICHEMONT SA,Apparel & Accessories,,,0QMU,CFR.S,0QMU.IL,79.0410066958996,71.4677862343364,84.9062066018587,72.9867598288651,10.97,0.49,4.99,5.49,77647500000.0,19900.0,Large Cap,19181000000.0,1.0374850112090088,0.937626626711522,Textiles & Apparel,Consumer Cyclicals
100,CH0009002962,BARRY CALLEBAUT AG,Food Processing,,,0QO7,BARN.S,0QO7.IL,77.5521045347255,73.3819096675331,84.4201257338801,70.2729044834308,13.54,4.76,4.15,4.64,10165365016.0,,Large Cap,8091855000.0,,,Food & Tobacco,Consumer Non-Cyclicals
105,CH0010645932,GIVAUDAN SA,Specialty Chemicals,,,0QPS,GIVN.S,0QPS.IL,76.8841008217007,71.6589961103192,75.7648096183158,88.0116959064327,19.3,9.39,4.13,5.78,28670284530.0,169862.0,Large Cap,7117000000.0,23.86707882534776,22.0627220241458,Chemicals,Basic Materials
106,CH0012549785,SONOVA HOLDING AG,"Medical Equipment, Supplies & Distribution",,,0QPY,SOON.S,0QPY.IL,85.1764739136696,77.8114503624011,91.6966344454795,80.0286068707121,17.51,2.43,8.59,6.49,17613999072.0,10523.0,Large Cap,3363900000.0,3.128214275097357,2.88608955846093,Healthcare Equipment & Supplies,Healthcare
107,CH0030170408,GEBERIT AG,Construction Supplies & Fixtures,,,0QQ2,GEBN.S,0QQ2.IL,88.1523062257966,92.5811786310348,94.5972443968296,72.2977022977022,13.09,5.55,2.18,5.36,18109363298.4,217009.0,Large Cap,3391900000.0,63.97859606710103,57.2042766990547,Homebuilding & Construction Supplies,Consumer Cyclicals
118,DE000SHA0159,SCHAEFFLER AG,"Auto, Truck & Motorcycle Parts",,,0RBK,SHA_p.DE,0RBK.IL,80.0614640400661,81.0174459616998,82.8149902200878,74.0267974760755,9.39,0.0,0.0,0.0,1211800000.0,1376000.0,Small Cap,15809000000.0,87.03902840154342,87.3817235028894,Automobiles & Auto Parts,Consumer Cyclicals
122,ES0173093024,RED ELECTRICA CORPORACION SA,Electric Utilities,,,0RI5,REDE.MC,0RI5.IL,81.6114866781642,74.9598351158601,89.6203389968945,82.5077863197319,10.71,2.69,3.43,4.6,8776317600.0,670163.0,Mid Cap,2015036000.0,332.58115487763,301.858908527466,Electric Utilities & IPPs,Utilities
