,ISIN,TRBC Industry Group Name
0,SE0015949748,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
1,DK0010181759,Beverages
2,FI0009005961,Paper & Forest Products
3,PLPEKAO00016,Banking Services
4,PLBZ00000044,Banking Services
5,ES0130960018,Oil & Gas Related Equipment and Services
6,DE0006070006,Construction & Engineering
7,FI0009005318,Automobiles & Auto Parts
8,PLPKO0000016,Banking Services
9,DE0007010803,Household Goods
10,DE000SYM9999,Chemicals
11,DE0007297004,Food & Tobacco
12,DE0005089031,Telecommunications Services
13,SE0001174970,Telecommunications Services
14,SE0000108847,Paper & Forest Products
15,ES0113860A34,Banking Services
16,SE0000190126,Investment Holding Companies
17,SE0000242455,Banking Services
18,SE0000667925,Telecommunications Services
19,DE0005470405,Chemicals
20,ES0113679I37,Banking Services
21,ES0167050915,Construction & Engineering
22,FI0009003305,Insurance
23,FI0009007132,Electric Utilities & IPPs
24,SE0000106270,Specialty Retailers
25,SE0000113250,Construction & Engineering
26,SE0000148884,Banking Services
27,SE0000667891,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
28,SE0000115446,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
29,FI0009007884,Telecommunications Services
30,SE0000163594,Professional & Commercial Services
31,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
32,CZ0008019106,Banking Services
33,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
34,ES0140609019,Banking Services
35,DE000PAH0038,Automobiles & Auto Parts
36,DK0060079531,Freight & Logistics Services
37,DE000A3E5D64,Chemicals
38,FI0009014377,Pharmaceuticals
39,HU0000061726,Banking Services
40,DE0008402215,Insurance
41,SE0000112724,Paper & Forest Products
42,SE0016589188,Household Goods
43,DE0005772206,Specialty Retailers
44,DK0010272202,Biotechnology & Medical Research
45,AT0000652011,Banking Services
46,AT0000730007,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
47,AT0000937503,Metals & Mining
48,PLPGER000010,Electric Utilities & IPPs
49,LU0061462528,Media & Publishing
