Name,ISIN,Refinitiv ESG Score,Sustainalytics ESG Score,Market Cap Category,TRBC Economic Sector Name,"GHG Emissions Scope 1,2,3 to Revenue USD in million",Company Market Cap,Peso con Flotación,cap_adj,weight_adj,Free Float (Percent)
NOVARTIS AG,CH0012005267,85.2663451013393,17.23,Large Cap,Healthcare,19.5464644363333,205199735767.44,0.1366888632435863,143639815037.208,0.1366888632435863,95.5606
DIAGEO,GB0002374006,79.8929636605901,16.69,Large Cap,Consumer Non-Cyclicals,206.946547031808,94576718704.8285,0.0900000056789457,94576718704.8285,0.0900000056789457,99.8255
COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332,79.0410066958996,10.97,Large Cap,Consumer Cyclicals,74.7321403330223,80218451228.5618,0.0763365568714555,80218451228.5618,0.0763365568714555,99.9877
VINCI,FR0000125486,83.1650005466664,17.36,Large Cap,Industrials,287.517993276907,65134468285.4,0.0619825110858051,65134468285.4,0.0619825110858051,89.329
ABB LTD,CH0012221716,92.0349245728932,17.23,Large Cap,Industrials,4316.51497656727,63318485270.4579,0.0602544062847944,63318485270.4579,0.0602544062847944,85.7984
RELX,GB00B2B0DG97,84.6614176785586,18.45,Large Cap,Industrials,6.19498192642993,58041615778.5472,0.0552328926317227,58041615778.5472,0.0552328926317227,99.5758
ATLAS COPCO AB,SE0017486889,84.9485597871885,18.36,Large Cap,Industrials,16204.4510560579,54836447740.9008,0.052182827610008,54836447740.9008,0.052182827610008,76.4117
DSV A/S,DK0060079531,80.2771314843878,14.08,Large Cap,Industrials,469.569369810197,37290073715.9387,0.0354855496380363,37290073715.9387,0.0354855496380363,81.4067
TRANE TECHNOLOGIES PLC,IE00BK9ZQ967,81.3768264926707,16.12,Large Cap,Industrials,25930.0937296624,36691457432.0806,0.0349159013177675,36691457432.0806,0.0349159013177675,99.6766
ASSICURAZ.GEN.ORD.,IT0000062072,93.4473912136904,14.98,Large Cap,Financials,0.868204815386271,29766683090.49,0.0283262274677616,29766683090.49,0.0283262274677616,83.365
GIVAUDAN SA,CH0010645932,76.8841008217007,19.3,Large Cap,Basic Materials,309.206980081958,29729067677.9475,0.0282904323229437,29729067677.9475,0.0282904323229437,82.9417
SWISS RE AG,CH0126881561,84.9741636457901,15.88,Large Cap,Financials,0.382122127779831,29265140466.3531,0.0278489552633681,29265140466.3531,0.0278489552633681,99.7613
AMADEUS IT GROUP SA,ES0109067019,90.4634965288474,14.49,Large Cap,Technology,4.64342428655205,28156200312.5,0.0267936784308542,28156200312.5,0.0267936784308542,99.9643
LEGRAND,FR0010307819,87.4383090506755,13.45,Large Cap,Industrials,402.808792996617,22423486069.4943,0.0213383790559992,22423486069.4943,0.0213383790559992,94.4946
CAIXABANK SA,ES0140609019,86.5936215733285,17.77,Large Cap,Financials,4.36190602344244,27322763356.398,0.020800458217756,21858210685.1184,0.020800458217756,47.2716
GEBERIT AG,CH0030170408,88.1523062257966,13.09,Large Cap,Consumer Cyclicals,350.416155670018,18062796248.6696,0.0171887097292043,18062796248.6696,0.0171887097292043,99.4424
SONOVA HOLDING AG,CH0012549785,85.1764739136696,17.51,Large Cap,Healthcare,43.7279731000984,17766009596.2715,0.0169062850398404,17766009596.2715,0.0169062850398404,82.5288
UPM-KYMMENE OYJ,FI0009005987,89.6549234548673,14.68,Large Cap,Basic Materials,777.663501478948,15894649116.22,0.0151254825745145,15894649116.22,0.0151254825745145,96.8652
SYMRISE AG,DE000SYM9999,77.4097757564361,20.32,Large Cap,Basic Materials,451.649559443003,14951877511.5549,0.0142283331392648,14951877511.5549,0.0142283331392648,94.9757
