,name,ticker_exchange,ticker_num,esg,date
0,"1-800-FLOWERS.COM, Inc.",NAS,FLWS,23.6,2023-02-28
1,1&1 AG,ETR,1U1,22.2,2023-02-11
2,"10X Genomics, Inc.",NAS,TXG,22.6,2022-06-12
3,11 Bit Studios SA,WAR,11B,16.3,2023-01-31
4,"1Life Healthcare, Inc.",,,22.5,2022-10-07
5,1st Source Corp.,NAS,SRCE,31.7,2021-12-15
6,"1stdibs.com, Inc.",NAS,DIBS,28.0,2022-01-26
7,"22nd Century Group, Inc.",NAS,XXII,32.1,2022-11-25
8,23andMe Holding Co.,NAS,ME,25.6,2022-10-05
9,29metals Ltd.,ASX,29M,41.5,2022-08-08
10,2i Rete Gas SpA,,,25.2,2022-08-11
11,"2seventy Bio, Inc.",NAS,TSVT,32.0,2022-07-26
12,"2U, Inc.",NAS,TWOU,19.8,2021-06-27
13,"360 DigiTech, Inc.",HKG,3660,28.4,2023-02-10
14,360 One Wam Ltd.,BOM,542772,33.9,2021-09-10
15,"360 Security Technology, Inc.",SHG,601360,23.1,2022-10-19
16,361 Degrees International Ltd.,HKG,1361,18.6,2022-10-18
17,37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE,002555,14.3,2022-09-14
18,3i Group Plc,LON,III,11.1,2022-09-07
19,3M Co.,NYS,MMM,33.5,2023-02-14
20,3M India Ltd.,BOM,523395,23.4,2022-11-08
21,3R Petroleum Óleo e Gás SA,BSP,RRRP3,56.7,2023-02-09
22,"3SBio, Inc.",HKG,1530,27.1,2022-03-13
23,407 East Development Group GP,,,45.7,2022-10-31
24,"407 International, Inc.",,,11.4,2022-03-23
25,"4D Molecular Therapeutics, Inc.",NAS,FDMT,28.4,2022-09-02
26,4imprint Group Plc,LON,FOUR,17.2,2023-02-22
27,"51job, Inc.",,,15.1,2022-02-16
28,5I5J Holding Group Co. Ltd.,SHE,000560,15.0,2022-11-15
29,"7-Eleven, Inc.",,,35.8,2022-03-09
30,888 Holdings Plc,LON,888,18.4,2023-02-17
31,"8x8, Inc.",NAS,EGHT,29.9,2023-01-10
32,"908 Devices, Inc.",NAS,MASS,36.8,2022-12-02
33,"91APP, Inc.",ROCO,6741,25.8,2022-11-23
34,"A-Living Smart City Services Co., Ltd.",HKG,3319,9.3,2023-01-04
35,"A-Mark Precious Metals, Inc.",NAS,AMRK,32.1,2022-09-01
36,A. O. Smith Corp.,NYS,AOS,25.4,2022-10-31
37,A.G. BARR Plc,LON,BAG,23.4,2022-04-07
38,A.P. Møller-Mærsk A/S,CSE,MAERSK.B,17.0,2022-08-11
39,A.S. Roma SpA,,,21.5,2022-12-12
40,"A10 Networks, Inc.",NYS,ATEN,21.9,2022-06-24
41,A2A SpA,MIL,A2A,21.1,2023-02-22
42,A2Dominion Housing Group Ltd.,,,17.4,2021-12-13
43,"AAC Technologies Holdings, Inc.",HKG,2018,17.3,2022-06-07
44,"AAC Technologies Holdings, Inc. (Hong Kong)",,,11.1,2022-01-26
45,AAK AB,OME,AAK,26.3,2022-09-15
46,Aamal Co. QSC,DSMD,AHCS,42.0,2023-02-16
47,"AAON, Inc.",NAS,AAON,26.4,2021-07-30
48,AAR Corp.,NYS,AIR,34.9,2022-10-18
49,Aareal Bank AG,ETR,ARL,18.6,2023-03-03
50,Aarti Drugs Ltd.,BOM,524348,35.4,2023-01-27
51,AARTI Industries Ltd.,BOM,524208,24.5,2022-12-23
52,Aavas Financiers Ltd.,BOM,541988,28.1,2021-09-27
53,AB Science SA,PAR,AB,36.3,2022-11-17
54,Abacus Property Group,ASX,ABP,13.4,2023-01-26
55,ABANCA Corporación Bancaria SA,,,19.8,2022-12-20
56,ABB India Ltd.,BOM,500002,18.9,2022-05-21
57,ABB Ltd.,SWX,ABBN,15.7,2022-08-11
58,Abbott Laboratories,NYS,ABT,25.0,2022-10-04
59,"AbbVie, Inc.",NYS,ABBV,29.8,2022-09-30
60,ABC arbitrage SA,PAR,ABCA,30.8,2023-02-27
61,"ABC-MART, INC.",TKS,2670,19.6,2022-11-04
62,Abcam Plc,NAS,ABCM,11.8,2022-10-26
63,"AbCellera Biologics, Inc.",NAS,ABCL,31.9,2022-09-08
64,"AbClon, Inc.",KRX,174900,32.0,2022-11-15
65,Abdullah Al Othaim Markets Co.,SAU,4001,29.4,2022-10-25
66,Abengoa SA,,,31.4,2022-05-25
67,Abengoa Transmisión Sur SA,,,22.9,2021-07-02
68,Abercrombie & Fitch Co.,NYS,ANF,15.2,2022-07-27
69,Abertis Infraestructuras SA,,,7.1,2022-11-18
70,ABG Sundal Collier Holding ASA,OSL,ABG,29.2,2022-08-03
71,"Ability Enterprise Co., Ltd.",TAI,2374,20.8,2022-10-31
72,"ABIOMED, Inc.",,,27.2,2022-10-18
73,"ABL Bio, Inc.",KRX,298380,43.7,2021-09-06
74,"ABLE C&C Co., Ltd.",KRX,078520,30.9,2022-09-26
75,Abliva AB,OME,ABLI,30.1,2022-12-21
76,"ABM Industries, Inc.",NYS,ABM,15.0,2021-09-06
77,ABN AMRO Bank NV,AMS,ABN,19.8,2022-09-05
78,"Aboitiz Equity Ventures, Inc.",PHS,AEV,38.4,2022-07-17
79,Aboitiz Power Corp.,PHS,AP,28.1,2023-01-27
80,ABOUT YOU Holding SE,ETR,YOU,16.2,2023-02-22
81,abrdn European Logistics Income Plc,LON,ASLI,32.1,2023-01-11
82,abrdn Plc,LON,ABDN,16.7,2022-10-12
83,abrdn Property Income Trust Ltd.,LON,API,15.4,2022-12-21
84,Absci Corp.,NAS,ABSI,25.5,2022-01-21
85,Absolute Clean Energy PCL,BKK,ACE,20.1,2022-03-22
86,Absolute Software Corp.,TSE,ABST,24.1,2021-07-03
87,Abu Dhabi Commercial Bank,ADS,ADCB,21.0,2022-09-29
88,Abu Dhabi Crude Oil Pipeline LLC,,,33.7,2021-09-11
89,Abu Dhabi Islamic Bank,ADS,ADIB,34.1,2022-05-26
90,Abu Dhabi National Energy Co. PJSC,ADS,TAQA,27.1,2022-08-19
91,Abu Dhabi National Hotels,ADS,ADNH,32.2,2022-06-01
92,Abu Dhabi National Oil Co. for Distribution PJSC,ADS,ADNOCDIST,24.7,2022-09-21
93,Abu Dhabi Ports Co. PJSC,ADS,ADPORTS,14.2,2022-06-01
94,"AC Energy, Inc.",,,22.3,2022-05-03
95,Acacia Research Corp.,NAS,ACTG,29.3,2021-09-06
96,AcadeMedia AB,OME,ACAD,16.2,2023-02-17
97,"Academy Sports & Outdoors, Inc.",NAS,ASO,15.5,2023-02-22
98,"Acadia Healthcare Co., Inc.",NAS,ACHC,28.6,2022-09-19
99,"ACADIA Pharmaceuticals, Inc.",NAS,ACAD,33.0,2022-05-19
100,Acadia Realty Trust,NYS,AKR,15.0,2022-05-16
101,"AcBel Polytech, Inc.",TAI,6282,19.2,2021-07-03
102,ACC Ltd.,BOM,500410,29.4,2023-01-30
103,"Accel Entertainment, Inc.",NYS,ACEL,17.6,2021-12-27
104,"Accelink Technologies Co., Ltd.",SHE,002281,22.0,2022-11-16
105,Accent Group Ltd.,ASX,AX1,16.2,2022-05-16
106,Accenture Plc,NYS,ACN,10.0,2022-10-07
107,Accès Recherche Montréal LP,,,34.9,2022-02-22
108,Access Bank Plc,,,37.9,2022-03-24
109,Access Prairies Partnership,,,45.7,2022-10-31
110,Acciona SA,MCE,ANA,19.9,2023-02-11
111,ACCO Brands Corp.,NYS,ACCO,7.9,2021-07-03
112,"Accolade, Inc.",NAS,ACCD,25.4,2022-08-24
113,Accor SA,PAR,AC,22.0,2022-12-19
114,Accton Technology Corp.,TAI,2345,20.3,2023-01-26
115,Ace Technologies Corp.,KRX,088800,25.9,2022-03-30
116,Acea SpA,MIL,ACE,20.3,2023-02-18
117,ACEF Holding SCA,,,35.2,2022-05-25
118,ACEN Corp.,PHS,ACEN,36.8,2022-12-20
119,"Acer, Inc.",TAI,2353,14.6,2023-03-02
120,Achilles Corp.,TKS,5142,32.9,2022-09-21
121,Achmea Bank NV,,,21.6,2023-01-27
122,Achmea BV,,,19.3,2022-07-07
123,"ACI Worldwide, Inc.",NAS,ACIW,20.2,2022-03-23
124,Ackermans & van Haaren NV,BRU,ACKB,9.0,2022-07-26
125,"Aclaris Therapeutics, Inc.",NAS,ACRS,42.6,2022-10-04
126,"ACM Research (Shanghai), Inc.",SHG,688082,34.2,2022-06-30
127,"ACM Research, Inc.",NAS,ACMR,43.9,2022-03-16
128,ACNB Corp.,NAS,ACNB,30.6,2023-01-12
129,"ACOM Co., Ltd.",TKS,8572,29.3,2021-04-14
130,ACOMO NV,AMS,ACOMO,15.3,2022-10-29
131,Acron PJSC,MIC,AKRN,46.4,2022-12-01
132,ACS Actividades de Construcción y Servicios SA,MCE,ACS,30.8,2022-12-24
133,Acter Group Corp. Ltd.,ROCO,5536,28.4,2022-11-02
134,Actic Group AB,OME,ATIC,31.5,2023-03-01
135,Action Logement Immobilier SASU,,,22.5,2021-09-06
136,Active Biotech AB,OME,ACTI,32.5,2022-01-21
137,"Activia Properties, Inc.",TKS,3279,11.6,2023-02-17
138,"Activision Blizzard, Inc.",NAS,ATVI,16.1,2022-12-31
139,"Actoz Soft Co., Ltd.",KRX,052790,20.5,2022-07-25
140,"Acuity Brands Lighting, Inc.",,,26.4,2021-05-12
141,"Acuity Brands, Inc.",NYS,AYI,20.6,2023-01-04
142,Acushnet Holdings Corp.,NYS,GOLF,11.2,2022-03-15
143,"Acutus Medical, Inc.",NAS,AFIB,30.1,2022-09-23
144,ACWA Power Co.,SAU,2082,36.9,2022-05-19
145,Adairs Ltd.,ASX,ADH,15.9,2022-04-13
146,ADAMA Ltd.,SHE,000553,37.8,2023-01-30
147,Adani Electricity Mumbai Ltd.,,,36.6,2022-05-14
148,Adani Enterprises Ltd.,BOM,512599,38.1,2023-03-02
149,Adani Green Energy Ltd.,BOM,541450,14.9,2022-10-17
150,Adani Power Ltd.,BOM,533096,32.8,2023-02-08
151,Adani Total Gas Ltd.,BOM,542066,23.2,2023-02-03
152,Adani Transmission Ltd.,BOM,539254,32.8,2023-02-04
153,adapa Holding GmbH,,,10.8,2023-02-20
154,AdaptHealth Corp.,NAS,AHCO,41.5,2022-08-02
155,Adaptive Biotechnologies Corp.,NAS,ADPT,22.1,2022-07-26
156,"Adastria Co., Ltd.",TKS,2685,19.7,2021-05-26
157,"ADATA Technology Co., Ltd.",ROCO,3260,38.2,2022-12-07
158,ADBRI Ltd.,ASX,ABC,37.0,2023-01-30
159,ADC Therapeutics SA,NYS,ADCT,34.8,2022-09-23
160,Adcock Ingram Holdings Ltd.,JSE,AIP,31.8,2022-11-25
161,"ADDCN Technology Co., Ltd.",ROCO,5287,23.8,2023-02-17
162,AddLife AB,OME,ALIF.B,15.3,2022-11-12
163,Addnode Group AB,OME,ANOD.B,26.7,2023-01-05
164,"Addsino Co., Ltd.",SHE,000547,23.6,2023-02-10
165,Addtech AB,OME,ADDT.B,21.1,2022-11-08
166,Addus HomeCare Corp.,NAS,ADUS,19.1,2022-05-31
167,Adecco Group AG,SWX,ADEN,10.1,2022-09-03
168,Adecoagro SA,NYS,AGRO,38.1,2022-02-02
169,"Adeia, Inc.",NAS,ADEA,30.3,2023-02-14
170,Adeka Corp.,TKS,4401,28.2,2022-07-10
171,Adelaide Airport Ltd.,,,9.7,2023-02-23
172,adesso SE,ETR,ADN1,25.2,2021-07-30
173,Adevinta ASA,OSL,ADE,22.1,2022-07-06
174,"Adicet Bio, Inc.",NAS,ACET,32.8,2021-09-27
175,adidas AG,ETR,ADS,14.7,2022-12-09
176,Adient plc,NYS,ADNT,16.5,2022-04-29
177,ADIF- Alta Velocidad,,,6.3,2022-10-24
178,Adimmune Corp.,TAI,4142,29.8,2022-12-21
179,Aditya Birla Capital Ltd.,BOM,540691,30.5,2022-05-31
180,Aditya Birla Fashion & Retail Ltd.,BOM,535755,12.3,2023-01-17
181,ADLER Group SA,ETR,ADJ,22.8,2022-05-19
182,"Adlink Technology, Inc.",TAI,6166,27.8,2021-07-21
183,Admie Holdings (IPTO) SA,ATH,ADMIE,37.6,2022-05-17
184,Admiral Group Plc,LON,ADM,22.3,2022-10-05
185,ADNOC Drilling Co. PJSC,ADS,ADNOCDRILL,22.0,2022-12-12
186,"Adobe, Inc.",NAS,ADBE,12.9,2022-12-07
187,Adolf Würth GmbH & Co. KG,,,20.1,2022-02-02
188,ADS-TEC Energy Plc,NAS,ADSE,24.7,2022-11-04
