,ISIN,Tickers_YF,sector_T,Name,Ticker,Market,Currency,RICS,sector,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score,totalEsg,environmentScore,socialScore,governanceScore,TRBC Industry Group Name,TRBC Economic Sector Name
1,DE0007037145,,Multiline Utilities,RWE AG,0FUZ,,,RWEG_p.DE^G19,Multiline Utilities,79.8019744483158,61.2473671639199,71.5220433331795,71.5638166004172,,,,,Multiline Utilities,Utilities
2,DE0005501357,,Consumer Publishing,AXEL SPRINGER SE,0NV2,,,SPRGn.H^B21,Consumer Publishing,21.0133360274803,59.2489385168632,40.482577251808,47.3577830093728,,,,,Media & Publishing,Consumer Cyclicals
3,DE000A12B8Z4,,Real Estate Services,TLG IMMOBILIEN AG,0R3N,,,TLGG.H,Real Estate Services,4.28906509312189,47.0733100727521,29.4608809993425,27.8437885878438,,,,,Real Estate Operations,Real Estate
4,ES0105200002,,Construction & Engineering,ABENGOA SA,0QD0,,,ABGek.MC^I22,Construction & Engineering,78.3817229469403,80.167023989156,45.2741228070175,70.2690562311805,,,,,Construction & Engineering,Industrials
5,PLEURCH00011,,Food Retail & Distribution,EUROCASH SA,0LTM,,,EUR.WA,Food Retail & Distribution,47.3469770393446,40.5842131461057,78.003663003663,53.2017892099138,,,,,Food & Drug Retailing,Consumer Non-Cyclicals
6,PLTAURN00011,,Multiline Utilities,TAURON POLSKA ENERGIA SA,0N2X,,,TPE.WA,Multiline Utilities,25.8144368858654,40.8451494292807,68.2038192474948,40.9168157064617,,,,,Multiline Utilities,Utilities
7,PLKRK0000010,,Corporate Financial Services,KRUK SA,0Q3Y,,,KRU.WA,Corporate Financial Services,20.0706019207492,55.2601836738389,67.9807146908678,54.7722750675244,,,,,Banking Services,Financials
8,ROTLVAACNOR1,,Banks,BANCA TRANSILVANIA SA,0DP9,,,ROTLV.BX,Banks,91.0138575825266,74.8720434785009,90.1851851851851,82.7091957238869,,,,,Banking Services,Financials
9,SE0000736415,,Pharmaceuticals,OREXO AB,0H19,,,ORX.ST,Pharmaceuticals,26.3192703982177,59.8309878737781,71.8258983633365,55.9334615077652,,,,,Pharmaceuticals,Healthcare
10,SE0007464888,,Pharmaceuticals,KARO PHARMA AB,0RAQ,,,KARO.ST^K22,Pharmaceuticals,31.5444545707703,57.5077963039051,48.0374589448301,48.6750564873693,,,,,Pharmaceuticals,Healthcare
11,NL0000303709,,Life & Health Insurance,AEGON,2AGN,Euronext After Hours Milan,EUR,AEGN.AS,Biotechnology & Medical Research,81.4684770682466,85.8523360697273,87.0593883527773,85.7506424494166,,,,,Insurance,Financials
12,DE0008404005,,Multiline Insurance & Brokers,ALLIANZ,2ALV,Euronext After Hours Milan,EUR,ALVG.DE,,94.6928571428571,90.1025578975889,95.5068608304757,92.8763189701128,,,,,Insurance,Financials
13,US02079K3059,,Online Services,ALPHABET CLASSE A,2GOOG,Euronext After Hours Milan,EUR,GOOGL.OQ,,76.7666177097963,82.5726790061046,83.0240659382128,81.9755641931967,,,,,Software & IT Services,Technology
14,US02079K1079,,Online Services,ALPHABET CLASSE C,2GOOG,Euronext After Hours Milan,EUR,GOOG.OQ,,76.7666177097963,82.5726790061046,83.0240659382128,81.9755641931967,,,,,Software & IT Services,Technology
15,US0311621009,,Pharmaceuticals,AMGEN,2AMGN,Euronext After Hours Milan,EUR,AMGN.OQ,Specialty Mining & Metals,76.8659111704223,80.2202817116485,84.5955850020593,80.8137028490531,,,,,Pharmaceuticals,Healthcare
16,NL0010273215,,Semiconductor Equipment & Testing,ASML,2ASML,Euronext After Hours Milan,EUR,ASML.AS,"Auto, Truck & Motorcycle Parts",55.9609360604386,84.3652247113464,79.7023978098744,74.3008160665252,,,,,Semiconductors & Semiconductor Equipment,Technology
17,IT0004776628,,Banks,BANCA MEDIOLANUM,2BMED,Euronext After Hours Milan,EUR,BMED.MI,Gold,44.4782601750687,73.1124120700961,72.8985074626865,68.9120885385447,,,,,Banking Services,Financials
18,IT0005508921,,Banks,BANCA MPS,2BMPS,Euronext After Hours Milan,EUR,BMPS.MI,Gold,76.6279863350546,76.0399874256043,75.8765962525361,76.0658384462606,,,,,Banking Services,Financials
19,IT0005218380,,Banks,BANCO BPM,2BAMI,Euronext After Hours Milan,EUR,BAMI.MI,,84.1767243551749,76.2497681383785,67.0028245216215,74.0623501315646,,,,,Banking Services,Financials
20,DE000BASF111,,Diversified Chemicals,BASF,2BAS,Euronext After Hours Milan,EUR,BASFn.DE,,96.7738798279424,91.8323977300286,84.3776045270717,92.1182364979044,,,,,Chemicals,Basic Materials
21,US0865161014,,Computer & Electronics Retailers,BEST BUY CO,2BBY,Euronext After Hours Milan,EUR,BBY.N,Home Furnishings Retailers,77.3097826086956,81.603115599099,91.0157246852012,84.3858170168907,,,,,Specialty Retailers,Consumer Cyclicals
22,FR0000131104,,Banks,BNP PARIBAS,2BNP,Euronext After Hours Milan,EUR,BNPP.PA,Business Support Services,95.3543689224873,96.2554570884181,94.266627543036,95.4097217561865,,,,,Banking Services,Financials
